Rk,Season,Team,W-L%,Pass Attempts,Pass TD,TO Committed,TO Forced,Point Differential,Turnover Differential,PtDif Pos or Neg,TODif Pos or Neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024,ARI,0.471,543,21,20,17,21,3,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,ARI,0.235,555,18,18,17,-125,1,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,ARI,0.235,664,17,25,20,-109,5,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,ARI,0.647,591,27,15,27,83,-12,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,ATL,0.471,559,21,24,18,-34,6,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,ATL,0.412,530,17,28,16,-52,12,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,ATL,0.412,415,17,21,17,-21,4,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021,ATL,0.412,573,20,26,20,-146,6,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024,BAL,0.706,477,41,11,17,157,-6,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023,BAL,0.765,494,27,19,31,203,-12,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022,BAL,0.588,488,19,21,25,35,-4,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021,BAL,0.471,611,21,26,15,-5,11,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024,BUF,0.765,520,30,8,32,157,-24,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023,BUF,0.647,579,29,28,30,140,-2,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022,BUF,0.813,574,35,27,27,169,0,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021,BUF,0.647,655,36,22,30,194,-8,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024,CAR,0.294,547,22,22,17,-193,5,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023,CAR,0.118,586,13,20,11,-180,9,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022,CAR,0.412,457,16,21,17,-27,4,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021,CAR,0.294,599,14,29,16,-100,13,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024,CHI,0.294,566,20,16,24,-60,-8,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2023,CHI,0.412,513,19,25,28,-19,-3,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022,CHI,0.176,377,19,25,23,-137,2,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021,CHI,0.353,542,16,29,16,-96,13,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024,CIN,0.529,652,43,22,25,38,-3,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2023,CIN,0.529,615,27,16,26,-18,-10,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022,CIN,0.75,610,35,18,24,96,-6,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021,CIN,0.588,555,36,21,21,84,0,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024,CLE,0.176,661,19,34,12,-177,22,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2023,CLE,0.647,624,24,37,28,34,9,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022,CLE,0.412,540,19,21,20,-20,1,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2021,CLE,0.471,520,21,22,19,-22,3,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024,DAL,0.412,637,23,28,22,-118,6,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2023,DAL,0.706,614,36,16,26,194,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022,DAL,0.706,556,28,23,33,125,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2021,DAL,0.706,647,40,20,34,172,-14,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2024,DEN,0.588,570,30,19,25,114,-6,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2023,DEN,0.471,513,28,22,26,-56,-4,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022,DEN,0.294,571,18,24,23,-72,1,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021,DEN,0.412,541,20,18,19,13,-1,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2024,DET,0.882,551,39,15,24,222,-9,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2023,DET,0.706,606,30,23,23,66,0,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022,DET,0.529,588,29,15,22,26,-7,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021,DET,0.206,593,23,23,19,-142,4,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2024,GNB,0.647,479,28,19,31,122,-12,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2023,GNB,0.529,581,32,18,18,33,0,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2022,GNB,0.471,563,27,22,24,-1,-2,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2021,GNB,0.765,593,39,13,26,79,-13,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2024,HOU,0.588,570,20,19,29,0,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2023,HOU,0.588,592,27,14,24,24,-10,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2022,HOU,0.206,579,20,28,27,-131,1,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2021,HOU,0.235,546,21,22,25,-172,-3,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2024,IND,0.471,513,20,29,25,-50,4,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2023,IND,0.529,574,18,22,24,-19,-2,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022,IND,0.265,604,17,34,21,-138,13,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2021,IND,0.529,521,27,19,33,86,-14,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2024,JAX,0.235,546,19,24,9,-115,15,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2023,JAX,0.529,620,22,30,27,6,3,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2022,JAX,0.529,596,25,22,27,54,-5,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2021,JAX,0.176,604,12,29,9,-204,20,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2024,KAN,0.882,600,26,14,20,59,-6,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2023,KAN,0.647,635,28,28,17,77,11,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2022,KAN,0.824,651,41,23,20,127,3,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2021,KAN,0.706,675,37,25,29,116,-4,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2024,LAC,0.647,510,23,9,21,101,-12,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2023,LAC,0.294,632,24,21,21,-52,0,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2022,LAC,0.588,711,26,19,24,7,-5,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2021,LAC,0.529,674,38,22,21,15,1,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2024,LAR,0.588,559,22,14,20,-19,-6,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2023,LAR,0.588,583,26,18,15,27,3,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2022,LAR,0.294,531,16,23,22,-77,1,Negative,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2021,LAR,0.706,607,41,23,25,88,-2,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
